provider id,name,state,city,address,zip,ownership type - simple,ownership type - detailed,total surveys,date of last certification survey,date calculated,total deficiencies,complaint deficiencies,certification deficiencies,fms deficiencies
201257,REFLECTIONS HOSPICE OF CRISP REGIONAL,GA,CORDELE,202 E 4TH AVENUE,31015,Other,Other,2,2010-01-14,2014-07-02,3,0,3,0
201260,VITAS HEALTHCARE CORPORATION OF GEORGIA,GA,ATLANTA,"1575 NORTHSIDE DRIVE, SUITE 375",30318,For-profit,PROPRIETARY/Corporation,2,2010-03-18,2014-07-02,73,48,25,0
201262,VISTACARE OF GEORGIA- SAVANNAH,GA,POOLER,"1000 TOWNE CENTER BLVD, SUITE #604",31322,For-profit,PROPRIETARY/Corporation,1,2004-10-28,2014-07-02,6,3,3,0
201263,GENTIVA HOSPICE,GA,BAINBRIDGE,432 EAST SHOTWELL STREET,39819,For-profit,PROPRIETARY/Corporation,3,2013-02-14,2014-07-02,10,0,10,0
201265,GENTIVA HOSPICE,GA,ATLANTA,"2302 PARKLAKE DRIVE NE, SUITE 150",30345,For-profit,PROPRIETARY/Corporation,3,2011-02-03,2014-07-02,19,17,2,0
201266,GENTIVA HOSPICE,GA,WARNER ROBINS,319 MARGIE DRIVE,31088,For-profit,PROPRIETARY/Corporation,3,2012-03-01,2014-07-02,16,11,5,0
201267,GENTIVA HOSPICE,GA,COLUMBUS,100 BROOKSTONE CENTRE PARKWAY,31904,For-profit,PROPRIETARY/Corporation,2,2010-08-12,2014-07-02,6,0,6,0
201271,VISTACARE HOSPICE- ATHENS,GA,BOGART,150 BEN BURTON ROAD,30622,For-profit,PROPRIETARY/Corporation,1,2007-02-01,2014-07-02,26,19,7,0
201273,CHRISTIAN MINISTRIES HOSPICE,GA,GRIFFIN,621 CARVER ROAD,30224,For-profit,PROPRIETARY/Corporation,3,2011-09-08,2014-07-02,50,6,44,0
201274,HEARTLAND HOSPICE SERVICES,GA,STOCKBRIDGE,827 FAIRWAYS COURT SUITE 200,30281,For-profit,PROPRIETARY/Corporation,2,2012-08-26,2014-07-02,14,13,1,0
201275,"HOSPICE CARE OPTIONS, INC.",GA,MACON,486 NEW STREET,31201,For-profit,PROPRIETARY/Corporation,3,2012-08-02,2014-07-02,10,3,7,0
201277,"UNITED HOSPICE, INC.- VALDOSTA",GA,VALDOSTA,407 COWART AVENUE,31602,For-profit,PROPRIETARY/Corporation,2,2010-09-02,2014-07-02,3,0,3,0
201278,UNITED HOSPICE INC- SWAINSBORO,GA,SWAINSBORO,667 S MAIN STREET,30401,For-profit,PROPRIETARY/Corporation,3,2013-11-21,2014-07-02,4,0,4,0
201279,COASTAL HOSPICE,GA,HINESVILLE,410 N. MAIN STREET,31313,For-profit,PROPRIETARY/Corporation,1,2004-01-30,2014-07-02,16,0,16,0
201280,"HOSPICE OF SOUTH GEORGIA, INC",GA,JESUP,1625 SUNSET BLVD,31545,Non-profit,NON-PROFIT/Private,2,2009-12-17,2014-07-02,10,0,10,0
201281,HOSPICE OF COFFEE REGIONAL MC,GA,DOUGLAS,1101 OCILLA RD.,31534,Other,Other,1,2005-01-27,2014-07-02,1,0,1,0
201282,PRUITTHEALTH HOSPICE-CORDELE,GA,CORDELE,708 EAST 16TH AVENUE,31015,For-profit,PROPRIETARY/Corporation,3,2013-05-23,2014-07-02,5,0,5,0
201283,PRUITTHEALTH HOSPICE-AUGUSTA,GA,EVANS,"620 PONDER PLACE DRIVE, SUITE 1A",30809,For-profit,PROPRIETARY/Corporation,3,2010-10-28,2014-07-02,21,9,12,0
201286,OMEGA HEALTH CARE OF NORTHEAST GEORGIA,GA,CARTERSVILLE,"27 MAPLE RIDGE ROAD, SUITE A",30121,For-profit,PROPRIETARY/Corporation,3,2011-07-28,2014-07-02,14,8,6,0
201287,SOUTHERNCARE MACON,GA,MACON,5233 RIVERSIDE DRIVE SUITES E & F,31210,For-profit,PROPRIETARY/Corporation,3,2011-08-04,2014-07-02,7,0,7,0
201288,SOUTHERNCARE VIDALIA,GA,VIDALIA,"2311 EAST FIRST STREET, SUITE B-BRICE SQUARE",30474,For-profit,PROPRIETARY/Corporation,3,2010-09-23,2014-07-02,5,0,5,0
201289,BETHANY HOSPICE LLC,GA,VALDOSTA,"2517 BEMISS ROAD, SUITE D",31602,For-profit,PROPRIETARY/Corporation,4,2013-07-18,2014-07-02,13,6,7,0
201290,"EMBRACING HOSPICECARE, LLC",GA,ATLANTA,5775 PEACHTREE DUNWOODY ROAD SUITE D-580,30342,For-profit,PROPRIETARY/Other,3,2013-06-27,2014-07-02,16,8,8,0
201291,HEARTLAND HOSPICE SERVICES- CARTERSVILLE,GA,CARTERSVILLE,20 COLLINS DRIVE SUITE A,30120,For-profit,PROPRIETARY/Corporation,5,2012-08-31,2014-07-02,14,12,2,0
201292,HEARTLAND HOSPICE SERVICES- CONYERS,GA,STOCKBRIDGE,827 FAIRWAYS COURT SUITE 200,30281,For-profit,PROPRIETARY/Corporation,2,2009-06-18,2014-07-02,20,14,6,0
203627,ST FRANCIS HOSPICE,HI,HONOLULU,24 PUIWA ROAD,96817,Non-profit,NON-PROFIT/Church,2,2013-05-22,2014-07-02,14,0,14,0
203628,HOSPICE HAWAII,HI,HONOLULU,860 IWILEI RD,96817,Non-profit,NON-PROFIT/Private,2,2007-04-04,2014-07-02,6,0,6,0
203630,HOSPICE OF HILO,HI,HILO,1011 WAIANUENUE AVENUE,96720,Non-profit,NON-PROFIT/Private,2,2013-08-08,2014-07-02,2,0,2,0
203631,HOSPICE MAUI,HI,WAILUKU,400 MAHALANI STREET,96793,Non-profit,NON-PROFIT/Private,2,2010-12-28,2014-07-02,13,0,13,0
203632,HOSPICE OF KONA,HI,KAILUA KONA,"75-5925 WALUA ROAD, SUITE 101",96740,Non-profit,NON-PROFIT/Private,1,2005-12-09,2014-07-02,8,0,8,0
203633,"NORTH HAWAII HOSPICE, INC",HI,KAMUELA,65-1328 KAUAIHAE ROAD,96743,For-profit,PROPRIETARY/Corporation,1,2009-02-25,2014-07-02,5,0,5,0
203634,KAUAI HOSPICE,HI,LIHUE,4457 PAHE'E STREET,96766,Non-profit,NON-PROFIT/Private,2,2010-05-25,2014-07-02,6,2,4,0
204869,IDAHO HOME HEALTH & HOSPICE,ID,TWIN FALLS,826 EASTLAND DR,83301,For-profit,PROPRIETARY/Corporation,1,2007-04-10,2014-07-02,0,0,0,0
204870,SAINT ALPHONSUS HOSPICE SERVICES,ID,NAMPA,1512 - 12TH AVENUE ROAD,83686,Non-profit,NON-PROFIT/Church,2,2006-03-10,2014-07-02,9,0,9,0
204871,ST LUKE'S HOME CARE / HOSPICE,ID,BOISE,325 WEST IDAHO ST,83702,Non-profit,NON-PROFIT/Other,1,2005-09-17,2014-07-02,1,1,0,0
204872,HOSPICE OF NORTH IDAHO,ID,HAYDEN,9493 GOVERNMENT WAY,83835,Non-profit,NON-PROFIT/Private,1,2011-06-06,2014-07-02,2,2,0,0
204874,HOME HEALTH AND HOSPICE S L M V R M C,ID,TWIN FALLS,601 POLE LINE ROAD,83301,Non-profit,NON-PROFIT/Private,2,2011-11-19,2014-07-02,6,0,6,0
204875,"ST ALPHONSUS HOME HEALTH & HOSPICE, AMEDISYS",ID,BOISE,9199 WEST BLACK EAGLE DRIVE,83709,For-profit,PROPRIETARY/Corporation,1,2005-01-11,2014-07-02,3,3,0,0
204877,"X L HOSPICE, INC",ID,PAYETTE,2480 HIGHWAY 52,83661,For-profit,PROPRIETARY/Corporation,1,2010-03-29,2014-07-02,26,0,26,0
204879,SOUTHEASTERN DISTRICT HOSPICE,ID,POCATELLO,1901 ALVIN RICKEN DRIVE,83201,Government,Government and Non-Profit,1,2006-04-25,2014-07-02,0,0,0,0
204880,BONNER COMMUNITY HOSPICE,ID,SANDPOINT,602 NORTH THIRD AVENUE,83864,Non-profit,NON-PROFIT/Private,1,2011-09-23,2014-07-02,5,0,5,0
204882,LIFE'S DOORS HOSPICE,ID,BOISE,420 S ORCHARD STREET,83705,For-profit,PROPRIETARY/Corporation,1,2012-07-13,2014-07-02,3,0,3,0
204885,FRANKLIN COUNTY MEDICAL CENTER HOSPICE,ID,PRESTON,44 NORTH 1ST EAST,83263,Government,GOVERNMENT/County,1,2004-08-04,2014-07-02,4,0,4,0
204886,HORIZON HOME HEALTH & HOSPICE,ID,MERIDIAN,900 N LINDER RD,83642,For-profit,PROPRIETARY/Corporation,1,2004-07-22,2014-07-02,7,3,4,0
204890,HOSPICE VISIONS,ID,TWIN FALLS,1770 PARK VIEW DRIVE,83301,Non-profit,NON-PROFIT/Private,2,2013-09-26,2014-07-02,3,0,3,0
204891,TETON VALLEY HOSPICE,ID,DRIGGS,120 EAST HOWARD,83422,Government,GOVERNMENT/County,1,2004-08-10,2014-07-02,5,0,5,0
204894,ST JOSEPH REGION MEDICAL CENTER FAMILY HOSPICE,ID,LEWISTON,1250 IDAHO ST,83501,Non-profit,NON-PROFIT/Church,1,2004-06-09,2014-07-02,2,0,2,0
204895,BOISE MEMORIAL HOSPICE,ID,EAGLE,"600 EAST STATE STREET, SUITE 300",83616,For-profit,PROPRIETARY/Indvidual,1,2005-07-06,2014-07-02,2,0,2,0
204900,SYRINGA GENERAL HOSPITAL HOSPICE,ID,GRANGEVILLE,607 WEST MAIN STREET,83530,Other,Other,1,2012-10-02,2014-07-02,19,0,19,0
204903,FIRST CHOICE HOME HEALTH AND HOSPICE,ID,TWIN FALLS,147 MAIN AVENUE EAST,83301,For-profit,PROPRIETARY/Corporation,1,2005-02-17,2014-07-02,6,0,6,0
204904,HOSPICE OF EASTERN IDAHO,ID,IDAHO FALLS,1810 MORAN STREET,83401,Non-profit,NON-PROFIT/Private,1,2005-11-10,2014-07-02,10,0,10,0
216736,BLESSING HOSPICE AND PALLIATIVE CARE,IL,QUINCY,"936 BROADWAY , PO BOX 7005",62305,Non-profit,NON-PROFIT/Private,1,2007-12-21,2014-07-02,5,0,5,0
216738,ST JOHN'S HOSPITAL HOSPICE PRO,IL,SPRINGFIELD,2667 FARRAGUT DRIVE,62704,Non-profit,NON-PROFIT/Church,2,2011-10-27,2014-07-02,2,0,2,0
216739,"HOSPICE OF SOUTHERN ILL, INC",IL,BELLEVILLE,305 S ILLINOIS ST,62220,Non-profit,NON-PROFIT/Private,1,2008-09-18,2014-07-02,1,1,0,0
216740,HEARTLAND HOSPICE SERVICES,IL,WESTMONT,1010 EXECUTIVE DR STE 200,60559,For-profit,PROPRIETARY/Corporation,2,2012-07-17,2014-07-02,5,0,5,0
216741,ADVENTIST ST THOMAS HOSPICE,IL,HINSDALE,"119 E OGDEN AVE, STE 111",60521,Non-profit,NON-PROFIT/Church,2,2009-12-18,2014-07-02,23,1,22,0
216742,GATEWAY REGIONAL  HOSPICE - GRANITE CITY,IL,GRANITE CITY,2100 MADISON AVENUE,62040,Other,Other,3,2012-12-09,2014-07-02,3,0,3,0
216744,HOSPICE OF LITTLE CO OF MARY H,IL,OAK LAWN,9800 SOUTHWEST HIGHWAY,60453,Non-profit,NON-PROFIT/Church,2,2012-11-28,2014-07-02,12,1,11,0
216745,"HORIZON HOSPICE & PALLIATIVE CARE, INC",IL,CHICAGO,833 WEST CHICAGO AVENUE,60622,Other,Other,1,2009-04-03,2014-07-02,12,0,12,0
216747,VITAS HEALTHCARE CORPORATION OF ILLINOIS,IL,LOMBARD,"580 WATERS EDGE, SUITE 100",60148,For-profit,PROPRIETARY/Corporation,2,2011-07-28,2014-07-02,15,0,15,0
216749,ADVOCATE HOSPICE,IL,DOWNERS GROVE,"1441 BRANDING LANE, SUITE 200",60515,Government,Government and Non-Profit,2,2011-11-18,2014-07-02,25,0,25,0
216750,DMH HOME HEALTH SERVICES HOSPICE,IL,DECATUR,2300 N EDWARD ST GEN SERV BLDG,62526,Non-profit,NON-PROFIT/Private,1,2008-04-04,2014-07-02,2,0,2,0
216751,CNS HOSPICE,IL,CAROL STREAM,690 E NORTH AVENUE,60188,Other,Other,2,2013-05-03,2014-07-02,8,0,8,0
216753,NORTHERN ILLINOIS HOSPICE ASSO,IL,ROCKFORD,4215 NEWBURG ROAD,61108,Non-profit,NON-PROFIT/Private,2,2013-06-27,2014-07-02,11,2,9,0
216754,ROCKFORD V N A HOSPICE,IL,ROCKFORD,4223 E STATE ST,61108,Non-profit,NON-PROFIT/Private,2,2013-10-30,2014-07-02,29,0,29,0
216757,"MDH HOSPICE,THE",IL,MACOMB,525 E GRANT ST,61455,Government,GOVERNMENT/City-County,2,2013-08-29,2014-07-02,10,0,10,0
216759,CARLE HOSPICE,IL,CHAMPAIGN,206A WEST ANTHONY DRIVE,61822,Other,Other,2,2013-02-21,2014-07-02,0,0,0,0
216760,MIDWEST PALLIATIVE & HOSPICE CARECENTER,IL,GLENVIEW,2050 CLAIRE COURT,60025,Non-profit,NON-PROFIT/Other,2,2011-02-10,2014-07-02,5,0,5,0
216761,FRANCISCAN HOSPICE OF CENTRAL,IL,PONTIAC,608 NORTH LADD STREET,61764,Non-profit,NON-PROFIT/Church,1,2007-06-22,2014-07-02,4,0,4,0
216762,HOSPICE OF THE CALUMET AREA IN,IL,LANSING,"3224 RIDGE ROAD, SUITE 202 AND 203",60438,Other,Other,2,2013-02-01,2014-07-02,4,0,4,0
216763,SSM HOSPICE OF ILLINOIS,IL,MOUNT VERNON,#2 GOOD SAMARITAN WAY,62864,Other,Other,2,2014-01-15,2014-07-02,1,0,1,0
216764,VITAS CORPORATION,IL,LA SALLE,"105 MARQUETTE STREET, SUITE A",61301,For-profit,PROPRIETARY/Corporation,1,2009-05-22,2014-07-02,9,0,9,0
216765,ILLINOIS VALLEY HOSPICE,IL,PERU,1305 6TH STREET,61354,Other,Other,1,2008-01-10,2014-07-02,1,0,1,0
216767,INGALLS HOME HOSPICE,IL,HARVEY,"ONE INGALLS DRIVE, WYMAN GORDON PAV",60426,Other,Other,2,2011-08-19,2014-07-02,16,0,16,0
216769,UNITYPOINT HOSPICE -  PEORIA,IL,PEORIA,120 NE GLEN OAK,61636,Non-profit,NON-PROFIT/Church,2,2012-09-20,2014-07-02,17,0,17,0
216770,JOLIET AREA COMMUNITY HOSPICE,IL,JOLIET,250 WATER STONE CIRCLE,60431,Non-profit,NON-PROFIT/Private,1,2009-04-03,2014-07-02,11,0,11,0
216771,HOSPICE CARE OF ILLINOIS,IL,SPRINGFIELD,720 NORTH BOND STREET,62702,Non-profit,NON-PROFIT/Other,2,2012-09-07,2014-07-02,7,0,7,0
216772,VITAS CORPORATION,IL,TINLEY PARK,"8525 W 183RD STREET, STE M",60487,For-profit,PROPRIETARY/Corporation,2,2010-12-03,2014-07-02,24,3,21,0
216773,HOSPICE OF SOUTHEASTERN ILLINOIS,IL,OLNEY,800 EAST LOCUST STREET,62450,Non-profit,NON-PROFIT/Private,2,2011-07-07,2014-07-02,4,0,4,0
216774,VISTA HOSPICE,IL,WAUKEGAN,"2645 WASHINGTON STREET, SUITE 240",60085,For-profit,PROPRIETARY/Corporation,2,2012-01-06,2014-07-02,11,0,11,0
216775,FAMILY HOSPICE OF BELLEVILLE A,IL,BELLEVILLE,5110 WEST MAIN STREET,62226,Non-profit,NON-PROFIT/Private,2,2013-08-22,2014-07-02,3,0,3,0
216777,OSF HOSPICE,IL,PEORIA,2265 WEST ALTORFER DRIVE,61615,Non-profit,NON-PROFIT/Church,2,2011-08-19,2014-07-02,8,0,8,0
216779,LOURDES HOSPICE,IL,METROPOLIS,600 MARKET ST,62960,Other,Other,1,2007-09-28,2014-07-02,7,0,7,0
216781,NORTHWESTERN MEM HOSPITAL HOSP,IL,CHICAGO,"676 N  ST CLAIR ST, SUITE 2100",60611,Other,Other,1,2009-02-11,2014-07-02,5,0,5,0
216782,"UNITY HOSPICE OF CHICAGOLAND, LLC",IL,CHICAGO,700 S CLINTON STREET SUITE 210,60607,For-profit,PROPRIETARY/Other,2,2011-09-23,2014-07-02,11,0,11,0
216783,HOSPICE OF THE ROCK RIVER VALL,IL,DIXON,264 IL ROUTE 2,61021,Other,Other,2,2013-05-24,2014-07-02,2,0,2,0
216787,HOSPICE OF KANKAKEE VALLEY INC,IL,BOURBONNAIS,482 MAIN STREET NW,60914,Non-profit,NON-PROFIT/Private,2,2013-10-31,2014-07-02,3,0,3,0
216788,KEWANEE HOSPITAL HOSPICE,IL,KEWANEE,1051 W SOUTH ST,61443,For-profit,PROPRIETARY/Corporation,1,2009-03-12,2014-07-02,2,0,2,0
216789,GRAHAM HOSPITAL HOSPICE,IL,CANTON,225 W WALNUT,61520,Non-profit,NON-PROFIT/Other,2,2013-08-02,2014-07-02,10,0,10,0
216791,FHN HOSPICE,IL,FREEPORT,773 WEST LINCOLN BLVD STE 403,61032,For-profit,PROPRIETARY/Corporation,2,2013-12-12,2014-07-02,5,0,5,0
216792,GOTTLIEB HOSPICE PROGRAM,IL,MELROSE PARK,905 WEST NORTH AVENUE,60160,Non-profit,NON-PROFIT/Private,2,2010-12-17,2014-07-02,5,0,5,0
216794,PRESENCE HOSPICE-ELGIN,IL,ELGIN,799 SOUTH MCLEAN BLVD,60123,Non-profit,NON-PROFIT/Church,1,2009-04-02,2014-07-02,4,0,4,0
216797,LOYOLA UNIV CTR FOR HOME CR &,IL,WESTCHESTER,"TWO WESTBROOK CORPORATE CTR (TOWER 2), STE 600",60154,Non-profit,NON-PROFIT/Church,2,2011-05-27,2014-07-02,11,0,11,0
216798,BRO-MENN HOSPICE,IL,NORMAL,1322 S MAIN ST,61761,Non-profit,NON-PROFIT/Other,1,2008-02-22,2014-07-02,5,0,5,0
216799,BLUE ISLAND HOME CARE SVCS LLC /METROSOUTH HOSPICE,IL,BLUE ISLAND,12935 SOUTH GREGORY,60406,For-profit,PROPRIETARY/Indvidual,3,2013-07-26,2014-07-02,18,0,18,0
216800,HARBOR LIGHT HOSPICE,IL,GLEN ELLYN,800 ROOSEVELT ROAD BLDG C STE 206,60137,For-profit,PROPRIETARY/Corporation,2,2013-01-25,2014-07-02,22,0,22,0
216801,OTTAWA REGIONAL HOSPICE,IL,OTTAWA,"1601 MERCURY CIRCLE, SUITE #1",61350,Non-profit,NON-PROFIT/Church,2,2013-05-03,2014-07-02,1,0,1,0
216802,CASS-SCHUYLER AREA HOSPICE,IL,VIRGINIA,331 S MAIN ST,62691,Government,Government and Non-Profit,1,2008-03-27,2014-07-02,0,0,0,0
216803,CONDELL MEDICAL CENTER HOSPICE,IL,LIBERTYVILLE,115 W CHURCH STREET,60048,Non-profit,NON-PROFIT/Private,1,2006-09-08,2014-07-02,20,0,20,0
216804,SAINT ANTHONY'S HOSPICE,IL,ALTON,915 E FIFTH ST,62002,Non-profit,NON-PROFIT/Church,2,2013-09-25,2014-07-02,2,0,2,0
216805,VITAS CORPORATION,IL,CHICAGO,"1340 SOUTH DAMEN AVENUE, STE 200",60608,For-profit,PROPRIETARY/Corporation,3,2013-12-13,2014-07-02,35,1,34,0
216806,QUAD COUNTY HOSPICE,IL,PANA,1 HUBER STREET,62557,Other,Other,1,2007-11-21,2014-07-02,2,0,2,0
216807,TIP HOSPICE,IL,ALTON,217 E CENTER DRIVE,62002,For-profit,PROPRIETARY/Corporation,2,2011-08-10,2014-07-02,1,0,1,0
216808,MEMORIAL HOSPICE DIV ELMHURST,IL,ELMHURST,855 NORTH CHURCH CT,60126,Non-profit,NON-PROFIT/Private,2,2011-08-12,2014-07-02,15,2,13,0
216810,SERENITY HOSPCIE AND HOME,IL,OREGON,1658 S ILLINOIS ROUTE 2,61061,Other,Other,1,2008-01-17,2014-07-02,7,0,7,0
216811,VISITING NURSE ASSOCIATION-HOS,IL,ELDORADO,1300 US 45 NORTH,62930,Other,Other,1,2009-04-09,2014-07-02,2,0,2,0
216812,HOSPICE COMPASSUS - NORTHWEST ILLINOIS,IL,GALESBURG,755 NORTH  HENDERSON STREET,61401,Non-profit,NON-PROFIT/Other,2,2012-08-31,2014-07-02,24,0,24,0
216813,SEASONS HOSPICE,IL,DES PLAINES,606 POTTER ROAD,60016,For-profit,PROPRIETARY/Corporation,2,2010-05-28,2014-07-02,22,8,14,0
216814,UNITYPOINT HOSPICE,IL,MOLINE,"106 19TH AVENUE, SUITE 101",61265,Other,Other,2,2012-06-22,2014-07-02,16,0,16,0
216815,PRESENCE HOSPICE URBANA,IL,CHAMPAIGN,"1501 INTERSTATE DRIVE, SUITE C",61821,Non-profit,NON-PROFIT/Church,2,2012-09-26,2014-07-02,10,0,10,0
216816,"MACNEAL HOSPICE,THE",IL,NORTH RIVERSIDE,7222 WEST CERMAK RD 6TH FLOOR,60546,For-profit,PROPRIETARY/Corporation,1,2006-10-19,2014-07-02,5,0,5,0
216819,KATHERINE SHAW BETHEA HOSPICE,IL,DIXON,101 W 2ND STREET,61021,Non-profit,NON-PROFIT/Private,2,2011-09-09,2014-07-02,16,0,16,0
216822,PALOS COMMUNITY HOSPITAL HOSPI,IL,LEMONT,15295 E 127TH STREET,60439,Non-profit,NON-PROFIT/Private,2,2012-03-29,2014-07-02,5,0,5,0
216824,COUNTY  OF MERCER HOSPITAL SERENITY HOSPICE,IL,ALEDO,409 NW 9TH AVENUE,61231,Government,GOVERNMENT/County,1,2007-10-05,2014-07-02,7,0,7,0
216825,BOND COUNTY HOSPICE,IL,GREENVILLE,1520 SOUTH FOURTH STREET,62246,Government,GOVERNMENT/County,2,2012-08-22,2014-07-02,30,0,30,0
216826,ST MARGARETS HOSPICE,IL,SPRING VALLEY,600 E 1ST STREET,61362,Non-profit,NON-PROFIT/Church,2,2014-01-24,2014-07-02,15,0,15,0
216827,HOSPICE OF ILLINOIS,IL,CHICAGO,5061 N PULASKI RD,60630,For-profit,PROPRIETARY/Corporation,2,2009-11-20,2014-07-02,24,0,24,0
216828,UNITY HOSPICE,IL,COLLINSVILLE,1604 EASTPORT PLAZA DR STE 102,62234,Other,Other,1,2007-12-20,2014-07-02,1,1,0,0
216829,PREMIER HOSPICE INC,IL,CALUMET CITY,740 BURNHAM AVE,60409,For-profit,PROPRIETARY/Corporation,1,2007-06-21,2014-07-02,0,0,0,0
216831,HOSPICE SERVICES OF PRESBYTERIAN HOMES,IL,EVANSTON,3200 GRANT STREET,60201,Other,Other,1,2007-10-10,2014-07-02,0,0,0,0
216832,OSF HOSPICE - EASTERN REGION,IL,NORMAL,"211 LANDMARK DR, SUITE D3",61761,Non-profit,NON-PROFIT/Church,1,2008-04-10,2014-07-02,2,1,1,0
216833,DEKALB COUNTY HOSPICE,IL,DEKALB,"2727 SYCAMORE ROAD, SUITE 1B",60115,Other,Other,2,2014-01-10,2014-07-02,15,0,15,0
225574,HOSPICE OF THE CALUMET AREA INC,IN,MUNSTER,600 SUPERIOR AVE,46321,Other,Other,2,2011-08-16,2014-07-02,16,0,16,0
225575,"CENTER FOR HOSPICE AND PALLIATIVE CARE INC, THE",IN,SOUTH BEND,111 SUNNYBROOK CT,46637,Non-profit,NON-PROFIT/Private,1,2008-08-25,2014-07-02,12,0,12,0
225576,OUR HOSPICE OF SOUTH CENTRAL INDIANA INC,IN,COLUMBUS,2626 E 17TH ST,47201,Other,Other,2,2010-03-15,2014-07-02,38,9,29,0
225577,VISITING NURSE & HOSPICE HOME,IN,FORT WAYNE,5910 HOMESTEAD RD,46814,Non-profit,NON-PROFIT/Other,1,2013-04-22,2014-07-02,1,1,0,0
225578,HOSPICE OF SOUTHERN INDIANA,IN,NEW ALBANY,502 HAUSFELDT LANE,47150,Non-profit,NON-PROFIT/Other,2,2010-10-29,2014-07-02,17,3,14,0
225579,VNA HOSPICE HOME CARE,IN,VALPARAISO,2401 VALLEY DR,46383,Non-profit,NON-PROFIT/Private,2,2013-06-24,2014-07-02,13,0,13,0
225580,INDIANA UNIVERSITY HEALTH LAPORTE VNA SERVICES,IN,MICHIGAN CITY,901 S WOODLAND AVE,46360,Non-profit,NON-PROFIT/Private,2,2011-07-14,2014-07-02,0,0,0,0
225581,ST VINCENT HOSPICE,IN,INDIANAPOLIS,8450 N PAYNE RD STE 100,46268,Non-profit,NON-PROFIT/Other,2,2007-04-28,2014-07-02,72,52,20,0
225583,INDIANA UNIVERSITY HEALTH HOSPICE,IN,BLOOMINGTON,619 W 1ST ST,47403,Other,Other,2,2011-12-09,2014-07-02,2,0,2,0
225584,HOSPICE OF THE WABASH VALLEY INC,IN,TERRE HAUTE,400 8TH AVE,47804,Non-profit,NON-PROFIT/Private,2,2012-02-24,2014-07-02,13,8,5,0
225585,INDIANA UNIVERSITY HEALTH HOSPICE,IN,INDIANAPOLIS,1828 N ILLINOIS STREET,46202,Non-profit,NON-PROFIT/Other,2,2009-10-23,2014-07-02,30,18,12,0
225586,DEACONESS HOSPICE CARE,IN,EVANSVILLE,701 GARFIELD ST,47710,Non-profit,NON-PROFIT/Private,1,2008-11-19,2014-07-02,9,0,9,0
225588,ANGELS OF MERCY HOSPICE,IN,HUNTINGBURG,511 E 4TH ST STE 111,47542,For-profit,PROPRIETARY/Partnership,2,2012-06-18,2014-07-02,49,1,48,0
225589,HOSPICE FRANCISCAN COMMUNITIES,IN,MICHIGAN CITY,1225 E COOLSPRING AVE STE 1E,46360,Non-profit,NON-PROFIT/Church,2,2012-03-30,2014-07-02,10,0,10,0
225590,ST VINCENT HOSPICE - ANDERSON REGION,IN,ANDERSON,2015 JACKSON ST,46016,Non-profit,NON-PROFIT/Private,2,2011-04-22,2014-07-02,6,2,4,0
225592,VISITING NURSE ASSOCIATION HOSPICE,IN,EVANSVILLE,610 E WALNUT ST,47734,Other,Other,2,2010-01-25,2014-07-02,49,2,47,0
225593,JASPER COUNTY HOSPITAL HOME HEALTH CARE &  HOSPICE,IN,RENSSELAER,1104 E GRACE ST,47978,Government,Government and Non-Profit,2,2012-02-29,2014-07-02,10,0,10,0
225595,HEARTLAND HOME HEALTH CARE AND HOSPICE,IN,FORT WAYNE,1315 DIRECTORS ROW STE 210,46808,For-profit,PROPRIETARY/Corporation,1,2012-12-10,2014-07-02,0,0,0,0
225597,ST FRANCIS HOSPICE,IN,GREENWOOD,421 NORTH EMERSON,46143,Other,Other,2,2011-12-28,2014-07-02,18,0,18,0
225598,REID HOSPITAL & HEALTH CARE SERVICES,IN,RICHMOND,1100 REID PKWY STE 125,47374,Non-profit,NON-PROFIT/Other,1,2008-11-07,2014-07-02,11,0,11,0
225599,VISTACARE,IN,INDIANAPOLIS,6431 SOUTH EAST STREET,46227,For-profit,PROPRIETARY/Corporation,1,2005-05-05,2014-07-02,17,0,17,0
225600,GOOD SAMARITAN HOSPICE,IN,VINCENNES,520 S 7TH ST,47591,Non-profit,NON-PROFIT/Other,1,2008-04-17,2014-07-02,5,0,5,0
225601,IU HEALTH GOSHEN HOME CARE AND HOSPICE,IN,GOSHEN,1721 S MAIN ST   PO BOX 723,46526,Non-profit,NON-PROFIT/Private,2,2013-03-02,2014-07-02,16,0,16,0
225602,VISITING NURSE SERVICE HOSPICE OF CENTRAL INDIANA,IN,INDIANAPOLIS,4701 N KEYSTONE AVE,46205,Non-profit,NON-PROFIT/Private,1,2009-05-11,2014-07-02,42,0,42,0
225603,SCHNECK MEDICAL CENTER HOSPICE,IN,SEYMOUR,411 W TIPTON ST  PO BOX 2349,47274,Government,GOVERNMENT/County,2,2013-07-26,2014-07-02,20,0,20,0
225605,DEARBORN COUNTY HOSPITAL HOME HEALTH & HOSPICE,IN,LAWRENCEBURG,370 BIELBY RD,47025,Non-profit,NON-PROFIT/Other,1,2012-02-03,2014-07-02,0,0,0,0
225606,HOSPICE FRANCISCAN COMMUNITIES,IN,CROWN POINT,203 FRANCISCAN DR,46307,Non-profit,NON-PROFIT/Church,2,2012-07-26,2014-07-02,26,5,21,0
