code,edited description,short description
598,"Deficiency cited: Spiritual counseling  The hospice must: 

(i)  Provide an assessment of the patient’s and family’s spiritual needs. 
 
(ii)  Provide spiritual counseling to meet these needs in accordance with the 
patient’s and family’s acceptance of this service, and in a manner 
consistent with patient and family beliefs and desires. 

(iii)  Make all reasonable efforts to facilitate visits by local clergy, pastoral 
counselors, or other individuals who can support the patient’s spiritual 
needs to the best of its ability.  

(iv)  Advise the patient and family of this service. (598)",COUNSELING SERVICES
599,"Deficiency cited: Condition of participation. Nursing services. Waiver of requirement that substantially all nursing services be routinely provided directly by a hospice. (599)
",NURSING SERVICES - WAIVER OF REQ
600,"Deficiency cited: Condition of participation - Nursing services 
 
CMS may waive the requirement in §418.64(b) that a hospice provide 
nursing services directly, if the hospice is located in a non-urbanized area.  The 
location of a hospice that operates in several areas is considered to be the location of 
its central office.  The hospice must provide evidence to CMS that it has made a 
good faith effort to hire a sufficient number of nurses to provide services. (600)",NURSING SERVICES - WAIVER OF REQ
601,Deficiency cited: Condition of participation - Furnishing of non-core services. (601),FURNISHING OF NON-CORE SERVICES
602,"Deficiency cited: Condition of participation
 
A hospice must ensure that the services described in §418.72 through 
§418.78 are provided directly by the hospice or under arrangements made by the 
hospice as specified in §418.100.  These services must be provided in a manner 
consistent with current standards of practice. 
 
The hospice must ensure that all clinical staff members (direct and contractual) are aware 
of and follow professional practice standards, laws, hospice policies, and procedures.  If 
questions arise during home visits or record reviews, ask clinical managers and staff what 
the hospice's policies are regarding the issue in question. (602)
",FURNISHING OF NON-CORE SERVICES
603,"Deficiency cited: Condition of participation
 
Physical therapy, occupational therapy, and speech-language pathology. (603)
","PHYS, OCCUPNL THERAPY & SPEECH-LANG PATHOLOGY"
604,"Deficiency cited: Condition of participation
 
Physical therapy services, occupational therapy services, and speech-
language pathology services must be available, and when provided, offered in a 
manner consistent with accepted standards of practice.  
 
Rehabilitative services such as training in the use of adaptive equipment, home safety 
assessment, and caregiver instruction in use of good body mechanics for turning and 
lifting patients, may be appropriate/beneficial for the hospice patient/family. (604)
","PHYS, OCCUPNL THERAPY & SPEECH-LANG PATHOLOGY"
605,"Deficiency cited: Waiver of requirement
 
Physical therapy, occupational therapy, speech-
language pathology, and dietary counseling. (605) 
","WAIVER PT, OT, SLP & DIETARY"
606,"Deficiency cited: Waiver of requirement

§418.74 (a) - A hospice located in a non-urbanized area may submit a written 
request for a waiver of the requirement for providing physical therapy, 
occupational therapy, speech-language pathology, and dietary counseling services.  
The hospice may seek a waiver of the requirement that it make physical therapy, 
occupational therapy, speech-language pathology, and dietary counseling services 
(as needed) available on a 24-hour basis.  The hospice may also seek a waiver of the 
requirement that it provide dietary counseling directly.  The hospice must provide 
evidence that it has made a good faith effort to meet the requirements for these 
services before it seeks a waiver.  CMS may approve a waiver application on the 
basis of the following criteria:  
 
1)  The hospice is located in a non-urbanized area as determined by the Bureau 
of the Census. 

2)  The hospice provides evidence that it had made a good faith effort to make 
available physical therapy, occupational therapy, speech-language pathology, 
and dietary counseling services on a 24-hour basis and/or to hire a dietary 
counselor to furnish services directly.  This evidence must include the 
following: 

(i)  Copies of advertisements in local newspapers that demonstrate 
recruitment efforts. (606)

(ii)  Physical therapy, occupational therapy, speech-language 
pathology, and dietary counselor job descriptions. 

(iii)  Evidence that salary and benefits are competitive for the area. 

(iv)  Evidence of any other recruiting activities (for example, recruiting 
efforts at health fairs and contact discussions with physical 
therapy, occupational therapy, speech-language pathology, and 
dietary counseling service providers in the area). 
(a) Any waiver request is deemed to be granted unless it is denied within 60 days 

 

 

 

 

 

after it is received.  

request. 

 
(b) An initial waiver will remain effective for 1 year at a time from the date of the 

 
(c) If a hospice wishes to receive a 1-year extension, it must submit a request to 
CMS before the expiration of the waiver period and certify that conditions 

under which it originally requested the waiver have not changed since the initial 
waiver was granted.  
 

Interpretive Guidelines §418.74 
 
Eligibility for this waiver, as with the nursing waiver, is based on the primary location of 
the hospice.  If the hospice operates in multiple locations, the primary location is 
considered to be location of the central office.  This office must be located in a non-
urbanized area as determined by the Bureau of Census.  
 
This waiver does not waive the hospice’s responsibility to provide PT, OT, SLP, and 
dietary counseling; only to provide them (as needed) on a 24-hour basis. 
 
There are no limit restrictions to the number of extensions a hospice may request to the 
original waiver request. 
 
 
L607 
","WAIVER PT, OT, SLP & DIETARY"
607,"Deficiency cited: Condition of participation - Hospice aide and homemaker services. (607)
",HOSPICE AIDE AND HOMEMAKER SERVICES
608,"Deficiency cited: Condition of participation - Hospice aide and homemaker services. 
All hospice aide services must be provided by individuals who meet the 
personnel requirements specified in paragraph (a) of this section.  Homemaker 
services must be provided by individuals who meet the personnel requirements 
specified in paragraph (j) of this section. (608)
",HOSPICE AIDE AND HOMEMAKER SERVICES
609,"Deficiency cited: Condition of participation - Hospice aide and homemaker services.
 
(1) A qualified hospice aide is a person who has successfully completed one of the 
following: 

(i)  A training program and competency evaluation as specified in paragraphs 

(b) and (c) of this section respectively. 

(ii)  A competency evaluation program that meets the requirements of 
paragraph (c) of this section. 

(iii)  A nurse aide training and competency evaluation program approved by the 
State as meeting the requirements of §483.151 through §483.154 of this 
chapter, and is currently listed in good standing on the State nurse aide 
registry. 

(iv)  A State licensure program that meets the requirements of paragraphs (b) 
and (c) of this section. (609)
",HOSPICE AIDE QUALIFICATIONS
610,"Deficiency cited: Condition of participation - Hospice aide and homemaker services.
 
(2)  A hospice aide is not considered to have completed a program, as specified in 
paragraph (a)(1) of this section, if, since the individual's most recent completion 
of the program(s), there has been a continuous period of 24 consecutive months 
during which none of the services furnished by the individual as described in § 
409.40 of this chapter were for compensation.  If there has been a 24-month 
lapse in furnishing services, the individual must complete another program, as 
specified in paragraph (a)(1) of this section, before providing services. (610)",HOSPICE AIDE QUALIFICATIONS
611,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training. 
 
(1)  Hospice aide training must include classroom and supervised practical training 

in a practicum laboratory or other setting in which the trainee demonstrates 
knowledge while performing tasks on an individual under the direct 
supervision of a registered nurse, or a licensed practical nurse, who is under the 
supervision of a registered nurse. Classroom and supervised practical training 
combined must total at least 75 hours. (611)",HOSPICE AIDE TRAINING
612,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training.  
 
§418.76(b)(2) - A minimum of 16 hours of classroom training must precede a 
minimum of l6 hours of supervised practical training as part of the 75 hours. (612)",HOSPICE AIDE TRAINING
613,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training. 
 
§418.76(b)(3) - A hospice aide training program must address each of the 
following subject areas: 
 
(i) Communication skills, including the ability to read, write, and verbally 
report clinical information to patients, care givers, and other hospice 
staff. 

(ii)  Observation, reporting, and documentation of patient status and the care 
or service furnished. 

(iii)  Reading and recording temperature, pulse, and respiration. 

(iv)  Basic infection control procedures. 

(v) Basic elements of body functioning and changes in body function that 
must be reported to an aide’s supervisor. 

(vi)  Maintenance of a clean, safe, and healthy environment. 

(vii)  Recognizing emergencies and the knowledge of emergency procedures 
and their application. 

(viii)  The physical, emotional, and developmental needs of and ways to work 
with the populations served by the hospice, including the need for respect 
for the patient, his or her privacy, and his or her property. 

(ix)  Appropriate and safe techniques in performing personal hygiene and 
grooming tasks, including items on the following basic checklist: 

(A) Bed bath. 
(B) Sponge, tub, and shower bath. 
(C) Hair shampoo (sink, tub, and bed). 
(D) Nail and skin care. 
(613)
 

 

 

 

 

 

 

 

(E) Oral hygiene. 
(F) Toileting and elimination. 

 
 
 
Safe transfer techniques and ambulation. 

(x) 

(xi)  Normal range of motion and positioning. 

(xii)  Adequate nutrition and fluid intake. 

 

 

 

 
 
L615 
 

(xiii)  Any other task that the hospice may choose to have an aide perform.  The 
hospice is responsible for training hospice aides, as needed, for skills not 
covered in the basic checklist, as described in paragraph (b)(3)(ix) of this 
section. 

 
 
L614 
",HOSPICE AIDE TRAINING
614,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training. 
 
(xiii)  Any other task that the hospice may choose to have an aide perform.  The 
hospice is responsible for training hospice aides, as needed, for skills not 
covered in the basic checklist, as described in paragraph (b)(3)(ix) of this 
section. (614)",HOSPICE AIDE TRAINING
615,"L615 
 

(xiii)  Any other task that the hospice may choose to have an aide perform.  The 
hospice is responsible for training hospice aides, as needed, for skills not 
covered in the basic checklist, as described in paragraph (b)(3)(ix) of this 
section. 

 
 
L614 
 
(Rev. 69, Issued: 12-15-10, Effective: 10-01-10, Implementation: 10-01-10) 
 
§418.76(b)(4) - The hospice must maintain documentation that demonstrates that 
the requirements of this standard are met. 
 
Interpretive Guidelines §418.76(b)(4) 
 
A hospice aide may receive training from different organizations if the amount of training 
totals 75 hours, the content of training addresses all subjects listed at §418.76(b)(3) and 
the organization, training, instructors, and documentation meet the requirements of the 
regulation. 
 
Documentation of training should include: 
 

•  A description of the training/competency evaluation program, including the 

qualifications of the instructors; 

•  A record that distinguishes between skills taught at a patient’s bedside with 

supervision, and those taught in a laboratory using a real person (not a 
mannequin) and indicators of which skills each aide was judged to be competent; 
and 

•  How additional skills (beyond the basic skills listed in the regulation) are taught 
and tested if the hospice’s admission policies and case-mix of hospice patients 
require aides to perform more complex procedures. 

 
(Rev. 69, Issued: 12-15-10, Effective: 10-01-10, Implementation: 10-01-10) 
 
§418.76(c) Standard: Competency evaluation.  
 
 An individual may furnish hospice aide services on behalf of a hospice only after 
that individual has successfully completed a competency evaluation program as 
described in this section.  
 
§418.76(c)(1) - The competency evaluation must address each of the subjects listed 
in paragraph (b)(3) of this section.  Subject areas specified under paragraphs 
(b)(3)(i), (b)(3)(iii), (b)(3)(ix), (b)(3)(x) and (b)(3)(xi) of this section must be 
evaluated by observing an aide’s performance of the task with a patient.  The 
remaining subject areas may be evaluated through written examination, oral 
examination, or after observation of a hospice aide with a patient. 
 
 
L616  
",COMPETENCY EVALUATION
616,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training.
 
Hospice aide competency evaluation program may be offered by 
any organization, except as described in paragraph (f) of this section.  
The hospice must ensure that the skills learned or tested elsewhere can be transferred 
successfully to care of the hospice patient in all settings. The hospice should give careful 
attention to evaluating both employed aides and those aides who provide services under 
arrangement or contract.  This review of skills could be done when the nurse installs an 
aide into a new patient care situation or during a supervisory visit.  A mannequin may not 
be used for this evaluation. 
 
If the hospice’s admission policies and the case-mix of patients demand that the aide care 
for individuals whose needs require additional competency beyond the minimum required 
in the regulation, the hospice must document how these additional skills are taught and 
tested. (616)",COMPETENCY EVALUATION
617,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training.
 
The competency evaluation must be performed by a registered nurse 
in consultation with other skilled professionals, as appropriate. (617)",COMPETENCY EVALUATION
618,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training.
 
A hospice aide is not considered competent in any task for which he 
or she is evaluated as unsatisfactory.  An aide must not perform that task without 
direct supervision by a registered nurse until after he or she has received training in 
the task for which he or she was evaluated as “unsatisfactory,” and successfully 
completes a subsequent evaluation.  A hospice aide is not considered to have 
successfully completed a competency evaluation if the aide has an “unsatisfactory” 
rating in more than one of the required areas.  (618)",COMPETENCY EVALUATION
619,"Deficiency cited: Content and duration of hospice aide classroom and 
supervised practical training.
 
The hospice must maintain documentation that demonstrates the 
requirements of this standard are being met. (619)
",COMPETENCY EVALUATION
620,"Deficiency cited: In-service training 
 
A hospice aide must receive at least l2 hours of in-service training during each 12-
month period.  In-service training may occur while an aide is furnishing care to a 
patient. (620)
",IN-SERVICE TRAINING
621,"Deficiency cited: In-service training 
 
In-service training may be offered by any organization, and must be 
supervised by a registered nurse. (621)
",IN-SERVICE TRAINING
622,"Deficiency cited: In-service training 
 
The hospice must maintain documentation that demonstrates the 
requirements of this standard are met. (622)
",IN-SERVICE TRAINING
623,"Deficiency cited: Qualifications for instructors conducting classroom and 
supervised practical training   
 
Classroom and supervised practical training must be performed by a registered 
nurse who possesses a minimum of 2 years nursing experience, at least 1 year of 
which must be in home care, or by other individuals under the general supervision 
of a registered nurse. (623)",HOSPICE AIDE INSTRUCTOR QUALIFICATIONS
624,"Deficiency cited: Eligible competency evaluation organizations. 
 
A hospice aide competency evaluation program as specified in paragraph (c) of this 
section may be offered by any organization except by a home health agency that, 
within the previous 2 years: 
 
(1)  Had been out of compliance with the requirements of §484.36(a) and 
§484.36(b) of this chapter. 

(2) Permitted an individual that does not meet the definition of a “qualified 
home health aide” as specified in §484.36(a) of this chapter to furnish home 
health aide services (with the exception of licensed health professionals and 
volunteers). 

(3) Had been subjected to an extended (or partial extended) survey as a result of 
having been found to have furnished substandard care (or for other reasons 
at the discretion of CMS or the State). 

(4) Had been assessed a civil monetary penalty of $5,000 or more as an 
intermediate sanction. 

(5) Had been found by CMS to have compliance deficiencies that endangered the 
health and safety of the home health agency’s patients and had temporary 
management appointed to oversee the management of the home health 
agency. 

(6) Had all or part of its Medicare payments suspended. 

(7) Had been found by CMS or the State under any Federal or state law to have:  

(i)  Had its participation in the Medicare program terminated. 
(ii)  Been assessed a penalty of $5,000 or more for deficiencies in Federal or 
State standards for home health agencies. 

(iii)  Been subjected to a suspension of Medicare payments to which it 
otherwise would have been entitled. 

(iv)  Operated under temporary management that was appointed by a 

governmental authority to oversee the operation of the home health 
agency and to ensure the health and safety of the home health agency’s 
patients. 

(v)  Been closed by CMS or the State, or had its patients transferred by the 
State. (624)
 

",ELIGIBLE COMPETENCY EVALUATION ORGANIZATIONS
625,"Deficiency cited: Hospice aide assignments and duties 
 
(1)  Hospice aides are assigned to a specific patient by a registered nurse that is a 
member of the interdisciplinary group.  Written patient care instructions for a 
hospice aide must be prepared by a registered nurse who is responsible for the 
supervision of a hospice aide as specified under paragraph (h) of this section. (625)",HOSPICE AIDE ASSIGNMENTS AND DUTIES
626,Deficiency cited: Hospice aide assignments and duties (626),HOSPICE AIDE ASSIGNMENTS AND DUTIES
627,"Deficiency cited: Hospice aide assignments and duties  
 
The duties of a hospice aide include the following: 
 
(i) Ordered by the interdisciplinary group. 
(ii) Included in the plan of care. 
(iii) Permitted to be performed under State law by such hospice aide. 
(iv) Consistent with the hospice aide training. 

(i)  The provision of hands-on personal care. 
(ii)  The performance of simple procedures as an extension of therapy or 

(iii)  Assistance in ambulation or exercises. 
(iv)  Assistance in administering medications that are ordinarily 
nursing services. (627)",HOSPICE AIDE ASSIGNMENTS AND DUTIES
628,"Deficiency cited: Hospice aide assignments and duties 
 
Hospice aides must report changes in the patient’s medical, 
nursing, rehabilitative, and social needs to a registered nurse, as the changes relate 
to the plan of care and quality assessment and improvement activities.  Hospice 
aides must also complete appropriate records in compliance with the hospice’s 
policies and procedures. 
 
When conducting home visits to patients receiving hospice aide services be observant for 
changes in the patient’s medical, nursing, rehabilitative and social needs that the aide 
should be reporting to the RN. 
 
Through clinical record reviews, look for documentation by the aide describing changes 
in the patient’s medical, nursing, rehabilitative and social needs and to whom he or she 
reported the information.  Clinical notations should be dated and signed.  (628)",HOSPICE AIDE ASSIGNMENTS AND DUTIES
629,"Deficiency cited: Supervision of hospice aides. 
 
(1) A registered nurse must make an on-site visit to the patient’s home: 

(i)  No less frequently than every 14 days to assess the quality of care and 
services provided by the hospice aide and to ensure that services ordered by 
the hospice interdisciplinary group meet the patient’s needs.  The hospice 
aide does not have to be present during this visit. (629)
",SUPERVISION OF HOSPICE AIDES
630,"Deficiency cited: Supervision of hospice aides.  

If an area of concern is noted by the supervising nurse, then 
the hospice must make an on-site visit to the location where the patient is 
receiving care in order to observe and assess the aide while he or she is 
performing care.  (630)
",SUPERVISION OF HOSPICE AIDES
631,"Deficiency cited: Supervision of hospice aides. 
 
If an area of concern is verified by the hospice during the 
on-site visit, then the hospice must conduct, and the hospice aide must 
complete, a competency evaluation in accordance with §418.76(c). (631)",SUPERVISION OF HOSPICE AIDES
632,"Deficiency cited: Supervision of hospice aides. 
 
 A registered nurse must make an annual on-site visit to the location 
where a patient is receiving care in order to observe and assess each aide while he or 
she is performing care. (632)
",SUPERVISION OF HOSPICE AIDES
633,"Deficiency cited: Supervision of hospice aides. 

The supervising nurse must assess an aide’s ability to demonstrate 
initial and continued satisfactory performance in meeting outcome criteria that 
include, but is not limited to– 

(i) Following the patient’s plan of care for completion of tasks assigned to the 
hospice aide by the registered nurse. 
(ii) Creating successful interpersonal relationships with the patient and family. 
(iii) Demonstrating competency with assigned tasks. 
(iv) Complying with infection control policies and procedures. 
(v) Reporting changes in the patient’s condition. (633)
",SUPERVISION OF HOSPICE AIDES
634,"Deficiency cited: Supervision of hospice aides. 
Standard: Individuals furnishing Medicaid personal care 
aide-only services under a Medicaid personal care benefit 
 
An individual may furnish personal care services, as defined in §440.167 of this 
chapter, on behalf of a hospice agency.  
Before the individual may furnish personal care services, the 
individual must be found competent by the State (if regulated by the State) to 
furnish those services.  The individual only needs to demonstrate competency in the 
services the individual is required to furnish. (634)
",MEDICAID PERSONAL CARE AIDE SERVICES
635,"Deficiency cited: Supervision of hospice aides. 
 
Services under the Medicaid personal care benefit may be used to 
the extent that the hospice would routinely use the services of a hospice patient’s 
family in implementing a patient’s plan of care. (635)
",MEDICAID PERSONAL CARE AIDE SERVICES
636,"Deficiency cited: Supervision of hospice aides. 
 
The hospice must coordinate its hospice aide and homemaker 
services with the Medicaid personal care benefit to ensure the patient receives the 
hospice aide and homemaker services he or she needs.(636)",MEDICAID PERSONAL CARE AIDE SERVICES
637,"Deficiency cited: Supervision of hospice aides. 
 
(2)  A hospice aide as described in §418.76. 

Homemaker services may include assistance in maintaining a safe and healthy 
environment for the patient/family and services to help the patient/family carry out the 
treatment plan. (637)
",HOMEMAKER QUALIFICATIONS
638,"Deficiency cited:  Homemaker supervision and duties.   
 
(1) Homemaker services must be coordinated and supervised by a member of the interdisciplinary group. 

Homemaker qualifications.   
 
A qualified homemaker is— 
 
(1)  An individual who meets the standards in §418.202(g) and has successfully 
completed hospice orientation addressing the needs and concerns of patients and 
families coping with a terminal illness; or (638)",HOMEMAKER SUPERVISION AND DUTIES
639,"Deficiency cited: Homemaker services
Instructions for homemaker duties must be prepared by a member 
of the interdisciplinary group. (639) 
",HOMEMAKER SUPERVISION AND DUTIES
640,"Deficiency cited: Homemaker services 

Homemakers must report all concerns about the patient or family to 
the member of the interdisciplinary group who is coordinating homemaker services. (640)",HOMEMAKER SUPERVISION AND DUTIES
641,"Deficiency cited: Conditions of participation – Volunteers (641)
",VOLUNTEERS
642,"Deficiency cited: Conditions of participation – Volunteers
 
The hospice must use volunteers to the extent specified in paragraph (e) of 
this section.  These volunteers must be used in defined roles and under the 
supervision of a designated hospice employee. (642)",VOLUNTEERS
643,"Deficiency cited: Volunteer training
 
The hospice must maintain, document and provide volunteer orientation and 
training that is consistent with hospice industry standards. (643)",TRAINING
644,"Deficiency cited: Volunteer Role 
 
Volunteers must be used in day-to-day administrative and/or direct patient care 
roles.  

Qualified volunteers who provide professional services for the hospice must meet all 
requirements associated with their specialty area.  If licensure or registration is required 
by the State, the volunteer must be licensed or registered. 
 
The hospice may use volunteers to provide assistance in the hospice’s ancillary and office 
activities as well as in direct patient care services, and/or help patients and families with 
household chores, shopping, transportation, and companionship.  Hospices are also 
permitted to use volunteers in non-administrative and non-direct patient care activities, 
although these services are not considered when calculating the level of activity descibed 
in standard (e). 
 
The duties of volunteers used in direct patient care services or helping patients and 
families must be evident in the patient’s plan of care.  There should be documentation of 
time spent and the services provided by volunteers. (644)
",ROLE
645,"Deficiency cited: Volunteer recruiting and retaining.  
 
The hospice must document and demonstrate viable and ongoing efforts to recruit 
and retain volunteers. (645)
",RECRUIITING AND RETAINING
646,"Deficiency cited: Volunteer cost saving   
 
The hospice must document the cost savings achieved through the use of volunteers. 
Documentation must include the following: 
 
(1) The identification of each position that is occupied by a volunteer. 

(2) The work time spent by volunteers occupying those positions. 

(3) Estimates of the dollar costs that the hospice would have incurred if paid 
employees occupied the positions identified in paragraph (d)(1) of this section 
for the amount of time specified in paragraph (d)(2) of this section.  (646)",COST SAVING
647,"Deficiency cited: Volunteer level of activity. 
 
Volunteers must provide day-to-day administrative and/or direct patient care 
services in an amount that, at a minimum, equals 5 percent of the total patient care 
hours of all paid hospice employees and contract staff.  The hospice must maintain 
records on the use of volunteers for patient care and administrative services, 
including the type of services and time worked. (647)
",LEVEL OF ACTIVITY
648,"Deficiency cited: Condition of Participation - Organization and administration of services. (648)
",ORGANIZATIONAL ENVIRONMENT
649,"Deficiency cited: Condition of Participation - Organization and administration of services.
 
The hospice must organize, manage, and administer its resources to 
provide the hospice care and services to patients, caregivers and families necessary 
for the palliation and management of the terminal illness and related conditions. (649)
",ORGANIZATION AND ADMINISTRATION OF SERVICES
650,"Deficiency cited: Condition of Participation - Organization and administration of services.
The hospice must provide hospice care that- 
(1) Optimizes comfort and dignity; and 
(2) Is consistent with patient and family needs and goals, with patient needs and 
goals as priority.  (650)
",SERVING THE HOSPICE PATIENT AND FAMILY
651,"Deficiency cited: Governing body and administrator.  
 
A governing body (or designated persons so functioning) assumes full legal 
authority and responsibility for the management of the hospice, the provision of all 
hospice services, its fiscal operations, and continuous quality assessment and 
performance improvement.  A qualified administrator appointed by and reporting 
to the governing body is responsible for the day-to-day operation of the hospice.  
The administrator must be a hospice employee and possess education and 
experience required by the hospice's governing body. (651)
",GOVERNING BODY AND ADMINISTRATOR
652,"Deficiency cited: Services. 
 
(1)  A hospice must be primarily engaged in providing the following care and 
services and must do so in a manner that is consistent with accepted 
standards of practice: 

(vii)  Short-term inpatient care. 
(viii)  Medical supplies (including drugs and biologicals) and medical appliances. (652)",SERVICES
653,"Deficiency cited: Services
Nursing services, physician services, and drugs and biologicals (as 
specified in §418.106) must be made routinely available on a 24-hour basis 7 days a 
week. Other covered services must be available on a 24-hour basis when reasonable 
and necessary to meet the needs of the patient and family. 
 
(i)  Nursing services. 
(ii)  Medical social services. 
(iii)  Physician services. 
(iv)  Counseling services, including spiritual counseling, dietary counseling, 
and bereavement counseling. 

(v)  Hospice aide, volunteer, and homemaker services. 
(vi)  Physical therapy, occupational therapy, and speech-language pathology 
services. (653)
",SERVICES
654,"Deficiency cited: Continuation of care 
 
A hospice may not discontinue or reduce care provided to a Medicare or Medicaid 
beneficiary because of the beneficiary's inability to pay for that care. (654)",CONTINUATION OF CARE
655,"Deficiency cited: Professional management responsibility 
 
A hospice that has a written agreement with another agency, individual, or 
organization to furnish any services under arrangement must retain administrative 
and financial management, and oversight of staff and services for all arranged 
services, to ensure the provision of quality care.  Arranged services must be 
supported by written agreements that require that all services be-- 
 

(1)  Authorized by the hospice; 
(2)  Furnished in a safe and effective manner by qualified personnel; and 
(3)  Delivered in accordance with the patient's plan of care.  (655)",PROFESSIONAL MANAGEMENT RESPONSIBILITY
656,"Deficiency cited:  Hospice multiple locations 
 
If a hospice operates multiple locations, it must meet the following requirements: 

(1)  Medicare approval. 
(i)  All hospice multiple locations must be approved by Medicare before 
providing hospice care and services to Medicare patients. (656)
",HOSPICE MULTIPLE LOCATIONS
657,"Deficiency cited:  Hospice multiple locations 
The multiple location must be part of the hospice and must 
share administration, supervision, and services with the hospice issued the 
certification number. (657)
",HOSPICE MULTIPLE LOCATIONS
658,"Deficiency cited:  Hospice multiple locations 

The lines of authority and professional and administrative 
control must be clearly delineated in the hospice’s organizational structure 
and in practice, and must be traced to the location which was issued the 
certification number. (658)
",HOSPICE MULTIPLE LOCATIONS
659,"Deficiency cited:  Hospice multiple locations  

The determination that a multiple location does or does 
not meet the definition of a multiple location, as set forth in this part, is an 
initial determination, as set forth in §498.3. (659)",HOSPICE MULTIPLE LOCATIONS
660,"Deficiency cited:  Hospice multiple locations 
The hospice must continually monitor and manage all services 
provided at all of its locations to ensure that services are delivered in a safe and 
effective manner and to ensure that each patient and family receives the necessary 
care and services outlined in the plan of care, in accordance with the requirements 
of this subpart and subparts A and C of this section. (660)
",HOSPICE MULTIPLE LOCATIONS
661,"Deficiency cited: Training
 
A hospice must provide orientation about the hospice philosophy to all 
employees and contracted staff who have patient and family contact. (661)",TRAINING
662,"Deficiency cited: Training
 
A hospice must provide an initial orientation for each employee 
that addresses the employee’s specific job duties. (662) 
",TRAINING
663,"Deficiency cited: Training

A hospice must assess the skills and competence of all individuals 
furnishing care, including volunteers furnishing services, and, as necessary, provide 
in-service training and education programs where required.  The hospice must have 
written policies and procedures describing its method(s) of assessment of 
competency and maintain a written description of the in-service training provided 
during the previous 12 months.  (663)",TRAINING
664,Deficiency cited: Medical director. (664),MEDICAL DIRECTOR
665,"Deficiency cited: Medical director.
 
The hospice must designate a physician to serve as medical director.  The 
medical director must be a doctor of medicine or osteopathy who is an employee, or 
is under contract with, the hospice. When the medical director is not available, a 
physician designated by the hospice assumes the same responsibilities and 
obligations as the medical director. (665)",MEDICAL DIRECTOR
666,"Deficiency cited: Medical director contract. 
 
(1) A hospice may contract with either of the following— 
 
(i)  A self-employed physician; or  
(ii)  A physician employed by a professional entity or physicians group.  

When contracting for medical director services, the contract must specify the 
physician who assumes the medical director responsibilities and obligations. (666)",MEDICAL DIRECTOR CONTRACT
667,"Deficiency cited:  Initial certification of terminal illness. 
 
The medical director or physician designee reviews the clinical information for each 
hospice patient and provides written certification that it is anticipated that the 
patient’s life expectancy is 6 months or less if the illness runs its normal course.  The 
physician must consider the following when making this determination:  
 
1. The primary terminal condition; 
2. Related diagnosis(es), if any; 
3. Current subjective and objective medical findings; 
4. Current medication and treatment orders; and 
5. Information about the medical management of any of the patient’s 
conditions unrelated to the terminal illness. (667)
",INITIAL CERTIFICATION OF TERMINAL ILLNESS
668,"Deficiency cited: Recertification of the terminal illness.   
 
Before the recertification period for each patient, as described in §418.21(a), the 
medical director or physician designee must review the patient’s clinical 
information. (668)
",RECERTIFICATION OF THE TERMINAL ILLNESS
669,"Deficiency cited: Medical director responsibility. 
 
The medical director or physician designee has responsibility for the medical 
component of the hospice’s patient care program. 
 
 The single individual who fills the role of the medical director assumes overall 
responsibility for the medical component of the hospice’s patient care program.  This 
responsibility, which extends to all hospice multiple locations, includes overseeing the 
implementation of the entire physician, nursing, social work, therapy, and counseling 
areas within the hospice to ensure that these areas consistently meet patient and family 
needs. (669)",MEDICAL DIRECTOR RESPOSIBILITY
670,"Deficiency cited: Clinical records. (670)
",CLINICAL RECORDS
671,"Deficiency cited: Clinical records. 
 
A clinical record containing past and current findings is maintained for 
each hospice patient.  The clinical record must contain correct clinical information 
that is available to the patient’s attending physician and hospice staff.  The clinical 
record may be maintained electronically. (671)",CLINICAL RECORDS
672,"Deficiency cited: Clinical records. 
  
Each patient’s record must include the following: 
 
(1) The initial plan of care, updated plans of care, initial assessment, comprehensive 
assessment, updated comprehensive assessments, and clinical notes. (672)",CONTENT
673,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following: Signed copies of the notice of patient rights in accordance with 
§418.52 and election statement in accordance with §418.24. (673)
",CONTENT
674,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following:  Responses to medications, symptom management, treatments, and 
services. (674)
",CONTENT
675,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following: Outcome measure data elements, as described in §418.54(e) of this 
subpart. (675)
",CONTENT
676,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following:  Physician certification and recertification of terminal illness as 
required in §418.22 and §418.25 and described in §418.102(b) and §418.102(c) 
respectively, if appropriate. (676)
",CONTENT
677,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following:  Any advance directives as described in §418.52(a)(2). (677)
",CONTENT
678,"Deficiency cited: Clinical records. 
 
Each patient’s record must include the following: Physician orders. (678)
",CONTENT
679,"Deficiency cited: Clinical records. 
 
All entries must be legible, clear, complete, and appropriately authenticated and 
dated in accordance with hospice policy and currently accepted standards of 
practice.  (679)",AUTHENTICATION
